graphtype,username,similarity,validation
mc,scmp_news,0.963555765321,0
mc,thestalwart,0.953943996734,1
mc,time,0.950142246192,?
mc,twittermoments,0.948314536067,0
mc,lilykatz,0.947944347796,1
mc,modestproposal1,0.936352693635,0
mc,barackobama,0.933539542855,?
mc,andiedavis18,0.932762829741,0
mc,gothambanker,0.931873983241,1
mc,ivanthek,0.930084836282,1
mr,lepera_joe,0.887687744879,0
mr,aussietorres,0.88728086429,1
mr,fastft,0.88418151163,1
mr,jelani9,0.882942397129,0
mr,miamicool,0.882456947082,1
mr,morganhousel,0.881809082065,1
mr,harmongreg,0.879627740145,1
mr,kylegriffin1,0.875530866658,0
mr,grudkev,0.875330022905,0
mr,judyberman,0.874019256928,0
hr,ferguspeace,0.9816052456,0
hr,sethmacfarlane,0.978430388967,0
hr,rudyhavenstein,0.977486207148,1
hr,nntaleb,0.977200030788,0
hr,miamicool,0.975956581225,1
hr,flysaa,0.974837946558,0
hr,rorychallandsaj,0.973738242307,0
hr,sarahrainsford,0.973067029031,0
hr,kelkun,0.970362237132,1
hr,agentintheeast,0.969367979547,0
c,wagefreedom,0.733379003357,0
c,adambienkov,0.73209675455,0
c,thestalwart,0.727244071309,1
c,memetsimsek,0.726180602134,?
c,paleofuture,0.722488646096,0
c,maggielake,0.722403698579,1
c,brennandturner,0.721076587353,1
c,shiraovide,0.720382534818,1
c,katie_martin_fx,0.719709170075,0
c,meropemills,0.719707227528,0


