,bill_easterly,economisthulk,economistmeg,eu_eurostat,ezraklein,faulljonathan,fgoria,firoozye,justinwolfers,kathylienfx,katie_martin_fx,keithmccullough,lamonicabuzz,laurenlacapra,queen_europe,reformedbroker,reinman_mt,rencapman,dsquareddigest,howardlindzon,commandrec1,leeott,princlywilliam,visualdensity,decsbarmyarmy,dom,andrew,chrisfralic,katelyntarv,wrickr,joshk,hook,eeismann,kellan,geyers,gabe,vanhoosear,jaynerington,jbartmoore,atvelu,rabble,cakemonster88,rileyadams69,jimhwilliams,heyitsnoah,_oi___,rjones,phelima,tonystubblebine,getluky,lukeduke9999,brs,barservice24_7,marciadorsey,lowellb23,owen1774,branx3,evankrasts,jeremy,jessicaxo21_,nwaugba,terryapodaca,elliexxsmile,ijustine,darkside,sethstil,ev,narnoc,aron,jorgepinon,anete,cbethel10,zetikala,jeffsmith,cosima_rose,pederdray,stakkd,aliciaa_jade,amir_eshghi,kushwaha,mole00,adam,dan,jazmindestyles6,joe_sixpack,jo,shannon,gosolar108,flashyourtv,brothersloth,ad2236,achumeko,urbanallard,biasparis,ericost,ueregistrar,crystal,tereseolsson2,hannahmdavis,ruby_pseudo,ki1cx,cbrumelle,niall,ryanpollock,rayreadyray,rodwagete,unaisppr,largeheartedboy,leewmurdock,tim535353,trifx,mikeq,cw,guzzishoes,kati,sofiasdw,neiled,andykeep,jaspre150,fansdetwilight,badoug12,fbgfernandes,biz,waqas,raniranuch,muhammadfatich1,halfshadows,erlingoentoro,praveenrajan,salim,tacoblosh,mweigel,jodopod,mkgobaco,dunstan,therealdjkurupt,ziqohelapejyt,huckdgear,manjeet,dannilizaitis,theentrenous,kelvinchua2000,shashikapadiamd,ariel,jack,riccard0,richard,jennythomasson,lebron1111ny,ramalagianambi,gertrudej2k,michalp,freshfunk5,elly,vampiress101,heppy,antoinegavin,alissa,gretta,blavine,rockfellers
bill_easterly,0.0,0.9927713589271844,0.8736157440656542,0.9182702299709081,0.9037049446414245,0.9368513099062314,0.9274670061202837,0.8586274764677453,0.9163983435561036,0.9001491958439547,0.9661603765043244,0.8738735278138935,0.9430210807277705,0.9023490966750392,0.9499279136324124,0.8684222892758786,0.9581678974002213,0.8222828914965915,0.9443596448781071,0.9447333667333095,0.9896036342624038,0.92588000029648,1.0,0.9692966951713954,1.0,0.9356046379428895,0.8939868701816915,0.9355147306221553,1.0,0.9954402028736284,0.880934574653065,0.945211048196804,0.9475575424647237,0.9160670859478286,0.910646589678246,0.9682201929579028,0.8799922442481687,0.9718271992120311,0.9393269743660952,0.9462723817301143,0.9145978860567483,0.9729107684731068,0.9717439706679658,0.9631323329989833,0.9007652147573149,1.0,1.0,0.9557152033339669,0.9422045511505991,0.9649860820951868,1.0,0.9652484720304128,0.9684087988196718,0.9802383375895741,0.9020161234002939,1.0,0.9618995778211705,0.9662475042105294,0.9742058922488621,0.9684087988196718,1.0,0.9695504039064555,1.0,0.9427870919500363,0.9659245064607767,0.9949565672290999,0.9819146943451681,0.9775836773654644,0.945435003176677,0.9367299051580568,0.9697665792374518,0.9645721626671735,1.0,0.952776883698825,0.9390887433636546,1.0,0.9785049102073851,0.9919861606512329,1.0,0.9706207796616472,0,0.863227630253998,0.9766789497385987,1.0,0.9782000000872,0.9894224834858474,0.9700361453145148,0.9486729923305669,1.0,0.9338237119559132,1.0,1.0,1.0,0.9878936475302755,0.9647044656179375,0.9742058922488621,0.9648745655688675,0.9776616474195615,0.9598758323871188,0.9234950557082076,0.9120108439952576,0.9340704369626227,0.8502466366116495,0.9733207384245177,0.976897027893051,0.980384378076955,1.0,0.9080019668969218,0.9905285574487602,0.9804413737534181,1.0,1.0,0.8617660104203639,0.9368175976393437,0.9629880585954826,1.0,0.9365534191950351,0.9689675083468032,0.9614371676210967,0.9649527090125626,1.0,1.0,0.8588910575967162,0.9296313392157916,1.0,1.0,0.9446266489228538,0.9369270044787619,0.9172407187289541,0.947541035821651,1.0,0.9786892542597105,0.8978658357873094,0.9347560803941806,0.886277477772313,0.9877722903859208,0.9698789715252258,0.9553232948391229,0.9627694123659358,0.9126342221778545,1.0,1.0,0.9851988498072651,0.9676203838654687,0.9046954477469973,0.9479818752690118,0.9322388215740722,0.9459756163289983,1.0,0.8747143337801874,1.0,0.8458053909604781,0.9872013232578861,0.9783286147784854,1.0,0.9551072404279547,1.0,0.966622597946638,1.0,0.9453951381367058,1.0
economisthulk,0.9927713589271844,0.0,0.9740308199645089,0.9880586015167637,0.991730446213208,0.9819136374654319,0.9920531767973398,0.9944877013726487,0.9982431285679086,0.9872629937887655,0.9834859194886287,0.9921967612398735,0.9941167739570157,0.98842397549536,0.9925526484782089,0.9827144835699465,0.9971795768155916,0.9816875057187215,0.9775479551047269,0.9986262811925251,0.9950027614772674,0.9986561740978165,0.9483238909801968,0.9952683604958311,1.0,0.9989614553515965,0.9996732495633228,0.9975155683587771,0.9875862680580861,0.9873513390814975,0.9884698906640206,0.992260178309515,0.9976909065173016,0.9961195679678826,0.9965574705355762,0.9645870356757539,0.9817369653502059,0.9802955095655036,0.9875097707372907,0.9946055318469428,0.9964566028010736,0.9984692839351733,0.9989113765980181,0.9876571704277342,0.9956988658326357,1.0,1.0,0.9986350674983764,0.9958010948401166,0.9970567591739602,1.0,0.9933056187481674,1.0,0.9979697068865779,0.9812821108612512,1.0,0.9977981507563286,0.9884147391782409,0.994782693553432,0.9957400871247251,1.0,0.9960895493018725,1.0,0.9020175984202137,0.9995226070576433,0.9966837941917718,0.998954837917786,1.0,0.9902456429590172,0.988196814157937,0.9650558020973302,0.9929478487416116,1.0,0.9983827816737721,0.9423157340890703,1.0,1.0,0.9983944992641453,1.0,0.9928313208022117,0,0.9841152951686112,0.999640602849395,0.9854685363740622,0.9996640435244541,0.9228969820529579,0.9964317896596978,0.9170870161296617,1.0,0.9810602500914761,1.0,1.0,0.9976906810309008,0.9904950580433922,0.9805090280817936,0.9980124546870217,0.9372077249870843,1.0,0.9964665861102608,0.9887878837909492,0.9563541532948304,0.9961390843055288,0.9933876888189802,0.9984998579867792,0.999812612430837,1.0,1.0,0.9989366742517629,0.9996350926065851,0.997689151608075,1.0,1.0,0.9956818183617424,0.9975657640712714,0.9774847873543409,1.0,0.9989707730681828,0.9983121047115623,1.0,0.9993248644263378,1.0,1.0,0.9947388506421163,0.9891555929538952,1.0,0.9766217910099195,0.9766451504356444,0.9935199445375552,0.9708660759137513,0.9903436679685838,0.998564365971703,0.9981754630329257,0.9705735288971747,0.9919329043179116,0.9962445133115376,0.9231904746264912,1.0,0.9982787352677881,0.9988524901785254,0.991994493228455,1.0,1.0,0.9946777070476048,0.997382309096803,0.9972257436936292,0.9973278553640624,0.992690199659767,0.9918636031173623,1.0,0.996166876896399,1.0,0.9941913409409652,0.999342538479032,0.99833012792928,1.0,0.9965408226275962,1.0,0.9946419369258513,1.0,0.991202424702028,1.0
economistmeg,0.8736157440656542,0.9740308199645089,0.0,0.7578943886512843,0.8473031267399702,0.61616699085836,0.9093549751404333,0.8410640836651361,0.9043167968186574,0.8107845959341511,0.7838529994713399,0.9437523714441624,0.9215140826046727,0.9582786105547976,0.6908416511481366,0.9472853875567954,0.9825740361856423,0.7301574949108742,0.6128858022159293,0.9782153871339581,0.99835016939591,0.9757834462992567,1.0,0.9829466001571948,1.0,0.9733828248419448,0.9858682238816623,0.9391114978997419,0.9972037132404061,0.9949347443845431,0.9660403351793723,0.9746406804499861,0.9750332451995701,0.9751368082136448,1.0,1.0,0.9550076230625263,0.9951852636138943,0.99597619720847,0.9909570631203078,0.9489166753452566,0.9959877196782452,0.9843058794856414,0.9717555254247873,0.9586618489319317,1.0,1.0,0.9737632988164113,0.9853252257266736,0.9752484779555924,1.0,0.9903490568047634,1.0,0.9890238678694432,0.9591829388937768,1.0,0.9788380522154757,0.9965914548369921,0.9964183234058672,0.9692935197224677,1.0,0.9633562856846623,1.0,0.9589967604110794,0.9793530186203663,0.9981324990669552,0.9899549592354027,0.995849800588503,0.9660563916797478,0.9667077428786144,0.9952021673631585,0.9803224741123084,1.0,0.9679424248206425,0.9934519352328467,1.0,1.0,0.9964391271244988,1.0,0.9972803384179834,0,0.9119224717462947,0.9922281357577251,1.0,0.9370369603780676,1.0,0.9939481126023786,0.993891071875014,1.0,0.9439908557607435,0.9875927083253634,1.0,1.0,0.9985461237992764,0.9934653195169832,1.0,0.9921961745636154,0.9751854166507268,0.9586117371344651,0.9683386977106667,0.9755642875000562,0.9267620729290124,0.9588788638392574,0.9831791777365654,0.9918955910152689,0.994552491243429,1.0,0.9710444339414724,0.9947393188513058,0.9855155191220891,1.0,1.0,0.9252964105930549,1.0,0.9848524584953278,1.0,0.9666148772669235,0.9776942794400201,0.9971441623703612,1.0,1.0,1.0,0.9662901026434557,0.9838270820036712,1.0,1.0,0.9773378509242023,0.97372573527724,0.9567372997916509,0.961150601584347,0.9896516033857117,0.9921089782769588,0.9588928087649498,0.976403071850419,0.9323238635928911,0.9952754210180951,0.9866160090550699,1.0,1.0,0.9921310511082322,1.0,1.0,0.9835581261509697,0.9876172529422288,0.9929420556061409,0.9550565850561104,0.9739967454277924,0.8881575059724527,1.0,0.9590665532099105,1.0,0.939097866746472,0.9905217173130394,1.0,1.0,0.8947206390484606,1.0,0.9721920073698503,0.9957443340646988,1.0,1.0
eu_eurostat,0.9182702299709081,0.9880586015167637,0.7578943886512843,0.0,0.9945723286307476,0.5054624149743072,0.9401540802546734,0.9112006571142108,0.9960320526987375,0.8899806348701533,0.9627725575427065,0.9853744925602219,0.9910755972634046,0.9722678353468207,0.895779263847829,0.9777987597937996,0.9947349908070227,0.9138826747631055,0.65763488983355,0.9928197306944108,0.9952368130966103,0.99902444131286,0.997024338510388,0.982825185854778,1.0,0.9963140814684556,0.9800746547400381,0.992064210838952,1.0,0.9785744623769602,0.9755189650570602,0.995402823557508,0.9953901732674498,0.9868538902207171,1.0,0.9803085672098732,0.9691202292468779,0.9951509843578498,0.9789272554540087,0.9887069238704619,0.991915468248077,0.9927264765367747,1.0,0.9746834467450538,0.9819592654305638,0.9962216774514584,1.0,0.9966970628235022,0.987068153112907,0.9985755574679115,1.0,0.9889843914881223,1.0,0.9977891443217963,0.9488437953522905,1.0,0.9658998183587714,0.9969104684580266,0.984849857056181,0.9770270687307817,1.0,0.9954578947847422,1.0,0.9925668696775447,0.987523611556976,0.9996990724971047,0.9958269198345253,0.9916405052112652,0.9912095006990971,0.9955294284713088,0.9826048304414422,0.9980182376941014,1.0,0.9847376151928062,0.9863709849096567,1.0,0.9855712924344582,0.9978482649655119,1.0,0.9923307310336431,0,0.9547606490226794,0.9879982975886437,0.9969859412902242,0.989268854441459,0.9995266519190356,0.9865910555708465,0.960624501900043,1.0,0.8850688834687663,1.0,1.0,0.9977647142356544,0.9969983340434222,0.9810461291808782,1.0,0.97642184208537,1.0,0.9801204473541423,0.9748262738425635,0.9987695156843763,0.9852481288491429,0.9721397370314706,0.9877382463548099,0.9931982420244319,0.9813466033484598,1.0,0.9759844661594971,0.9978807458491812,0.9982494873559907,1.0,1.0,0.9966562020845061,1.0,0.9921543725256944,1.0,0.9686187076353147,0.9926479721415874,0.9971238297952257,0.9686323951190052,1.0,1.0,0.9955865129799519,0.9864266136892905,1.0,1.0,0.9804370036593016,0.9882394096042014,0.9796669993610829,0.9843496029274413,1.0,0.9936422375475434,0.9675425096001081,0.983025049922892,0.9918210439520128,0.994647006607997,0.9932603598367662,1.0,0.9900034981635712,0.9513934984219301,1.0,1.0,1.0,0.9944177840696539,0.9895746480457751,0.972195342151622,0.9837356322552445,0.9703292985926151,1.0,0.9855712924344582,0.9826855509213498,0.9593650753267066,0.9987272313629347,1.0,1.0,0.9869789053534794,1.0,0.9956435148585053,1.0,0.9911142205898411,1.0
ezraklein,0.9037049446414245,0.991730446213208,0.8473031267399702,0.9945723286307476,0.0,0.9916629482924717,0.9407328025192315,0.6989084463236401,0.8301980208484875,0.9629185874992664,0.9864992453146799,0.9820306665284716,0.779250176580749,0.8865806414178583,0.8374687560027317,0.8895825511789881,0.9326002681436603,0.8392832846102253,0.9805876007516751,0.9113649485614493,0.9978121682629045,0.987154621906462,0.9930033686966993,0.9886927878204655,0.9835467553881725,0.9415395146824498,0.9843832713206122,0.8408869728048366,1.0,0.9832074775365941,0.9780756821593023,0.9722561896329054,0.9910331733570572,0.9618773406605586,0.9506402661645174,0.9882963406299221,0.9591190043654311,0.9816437093572957,0.9863266439066052,0.9862094399929116,0.9818550009707473,0.9940142530512921,0.9843910816380196,0.9737816049696043,0.9383294057797292,0.9751250322839947,1.0,0.9249789904664014,0.9647284936594832,0.981244077738845,1.0,0.9776033857140075,1.0,0.9781669128640341,0.9849646413055672,1.0,0.9929843129247685,0.9858748315083352,0.9845636615407677,0.8952921924621015,0.9932829910146377,0.9934586295076655,1.0,0.938149368415971,0.9840284184742357,0.9962852751668182,0.9654494965413029,0.9958723316964001,0.9879430960262858,0.9558513119170258,0.9745504769128838,0.9923891729458668,1.0,0.9864736509222389,0.9746735495272607,1.0,0.9984167857990531,0.9976389725498268,1.0,0.9918853097437846,0,0.4678338743681576,0.9905526238452176,0.9950391600944211,0.8956313029900034,0.9883137443126357,0.9949841398546383,0.9878484735356948,0.9934621435398785,0.9825921640695975,0.9938300332705646,0.9751250322839947,0.9963209426597521,0.9977105265674153,0.9913343943814105,1.0,0.9862018505268356,0.9917733776940862,0.989445238660354,0.9790070562957619,0.9675959294285196,0.6523088529865784,0.9752133983455711,0.973445232800932,0.9722363628605022,0.9891641306845204,1.0,0.9796717398429267,0.994767878677671,0.9860743490943381,1.0,1.0,0.8541557199394701,0.9650973974873671,0.9533692888260337,1.0,0.9200647393186745,0.9892438184008534,0.9971596664894142,0.9903197597687357,1.0,1.0,0.9508272295235316,0.969617002185779,1.0,0.9920190040683895,0.974241007952535,0.9816110795514869,0.9713147797374975,0.9903403779822006,0.996569261340427,0.9799435349310722,0.9634769389977104,0.9647967665907101,0.8279888063308938,0.9735685209310424,0.9889072247456318,0.9753201330822586,0.9835467553881725,0.9826083800357909,1.0,1.0,0.9818304308863314,0.9937444967147633,0.9563223186118529,0.9957429123180483,0.9682395448134651,0.8824342253322685,1.0,0.9694665832674526,1.0,0.9217618120646771,0.9994762874537875,1.0,1.0,0.8463060836724412,1.0,0.8678608795339064,1.0,0.9872030319685786,1.0
faulljonathan,0.9368513099062314,0.9819136374654319,0.61616699085836,0.5054624149743072,0.9916629482924717,0.0,0.9337008579952265,0.8912080156676343,0.9833651139487751,0.8837966113303263,0.8198831858876476,0.9961531086190627,0.9897962064059531,0.9876691842286318,0.7476751291166001,0.97038535509555,0.9781503769150098,0.8619007190364301,0.5551124201458344,0.9872294746402523,0.9976358314040573,0.9921921053504831,1.0,0.9960726053333443,1.0,0.9865907775530566,0.9772181829615264,0.9980753280131426,1.0,0.9918343083191998,0.993276766562741,0.9904609309459871,0.9955279031756764,0.9582480024740269,0.9466619252937335,0.9927036760068453,0.9785089927113924,0.9974127233425762,0.9929726690818219,0.9961125050051086,0.9862747736465673,0.9989219680594068,0.9831330197919982,0.9757157978640643,0.980254466059083,1.0,1.0,0.9964753208121636,0.979299964328316,0.9866993683380032,1.0,0.9896278184104883,1.0,0.994101797445829,0.9695365145219337,1.0,0.988628284263595,0.9945050889838074,0.9942259840394276,0.9882138392749263,1.0,0.9939412018509244,1.0,0.9944915611074101,0.9981508349683849,0.9997992936192425,0.9946021344869238,0.9821585844790893,0.977851248551431,0.9900610365973188,0.9871090342315022,0.991188302030409,0.9749137146867283,0.9812072824374967,0.9835793590962789,1.0,1.0,1.0,1.0,0.9824625490669446,0,0.9798847976891104,0.993039437909577,1.0,0.9739736845016101,0.997474368962496,0.9886177206610046,0.9978115122861462,1.0,0.9021833794037509,0.9966663703308584,1.0,1.0,0.9742182897206071,0.9964884834969944,1.0,0.990215138386459,1.0,0.9726268872980273,0.9919408722667721,1.0,0.9795350944982661,0.9889514453976693,0.9991391484232519,0.994919125176391,0.9970726928502959,1.0,0.9890166520901399,0.9915192630831605,0.9937732234930302,1.0,1.0,0.9776982305988616,0.9622842856797643,0.9976743494252656,1.0,0.9740866132700629,0.9912826613955975,0.9923268467429706,1.0,1.0,1.0,0.9583365122844973,0.9869638304596231,1.0,1.0,0.9826030382532404,0.993724932387498,0.9728774344058799,0.9652060765064806,1.0,0.9943461753887737,0.9823283074617967,0.9846026241051403,0.9951510841176121,0.9977785245247489,0.9748276341582867,0.9733309626468667,0.9466619252937335,0.9901334830490972,1.0,1.0,1.0,0.9930290696385513,0.9506948889621027,0.9568730845024638,0.9801432472838303,0.9193775424511597,1.0,0.9846026241051403,1.0,0.9754549384766609,1.0,0.9935318083564405,1.0,0.933501240540637,1.0,0.9833965825720151,0.9977131489134125,0.9911103208822889,1.0
fgoria,0.9274670061202837,0.9920531767973398,0.9093549751404333,0.9401540802546734,0.9407328025192315,0.9337008579952265,0.0,0.9303673745782831,0.9482158563177587,0.9418756924818293,0.9103344412698915,0.9179310854506608,0.8259436632300368,0.7131739730690394,0.9457831301892329,0.8665027422696713,0.9836703922712793,0.9265585908788783,0.9052226626422686,0.9007979272276777,0.9887561355434348,0.9975244035956665,1.0,0.9813215126133146,1.0,0.9880955996179429,0.9903689642554081,0.9835234459313595,1.0,0.9870547965416416,0.9716789730303166,0.977964443285517,0.9606522336694153,0.9936457485913173,1.0,0.9819555100095128,0.9599677001676395,0.9889255405524505,0.9737768788179276,0.9842845823930763,0.9813495794772337,0.9979491741763797,1.0,0.9833976773389269,0.9741750949574076,1.0,1.0,0.9832368067535784,0.9728095152556279,0.9981926536777834,1.0,0.9950670436908986,1.0,1.0,0.9860912538094516,0.9859287456849009,0.989183340765277,0.9851910083578531,0.9926770870806042,0.9887891249479035,1.0,0.9899146334799547,1.0,0.9832333743691627,0.991205466053063,0.9986636310614441,0.9939029068322838,0.9957573571915588,0.9925643535516361,0.9943276960434906,0.9803811931769727,0.9983236806753578,1.0,0.9955311400082479,0.985496508207295,1.0,0.9902361161074723,0.9981799053251311,1.0,0.9874889175706412,0,0.9493528338487612,0.9947033478529046,1.0,0.985146421573999,0.9987988228461487,0.9938133101571249,0.9833466636776007,1.0,0.9821072759513562,1.0,1.0,1.0,0.9962843487771478,0.9866395262454475,1.0,0.9867039144455367,1.0,0.9902361161074723,0.9804097256139512,0.9812649966373008,0.970052295440831,0.9436320882485982,0.9877175023015017,0.9958575348933253,0.9805090284936996,1.0,0.9660464448249133,0.9784885603509262,0.9992596442660028,1.0,1.0,0.9724228217451321,1.0,0.9900453927471706,1.0,0.9848316631640465,0.9917081570360001,0.9941611003327222,0.9900501206539929,1.0,1.0,0.9931078466640981,0.9765780221978531,1.0,1.0,0.9900713131793234,0.9641873207459877,0.9760440588282836,0.9801426263586468,1.0,0.9932776751096645,0.9747863012868053,0.9465858116467601,0.970020446533573,0.9951701836338361,0.9897384160433145,1.0,1.0,0.9785487323279511,1.0,1.0,1.0,0.9918623504921098,0.9843671615615057,0.9803094980031636,0.9846101531802178,0.9790852944385057,1.0,0.9707083483224169,1.0,0.9533059790540984,0.9983850989679031,1.0,1.0,0.9782863051622552,1.0,0.9810483998073823,1.0,0.8703448371451962,1.0
firoozye,0.8586274764677453,0.9944877013726487,0.8410640836651361,0.9112006571142108,0.6989084463236401,0.8912080156676343,0.9303673745782831,0.0,0.8919074927232922,0.9162248698881991,0.8941181315182076,0.9237952470595796,0.8648289624471666,0.8669926448316302,0.8688326310955408,0.9042848953696204,0.9665338607171915,0.8878298783765669,0.8850474081682118,0.9208903792263652,0.9767646302511644,0.9293089011917355,1.0,0.9569563027062479,1.0,0.9143779581675557,0.9746695834598971,0.9064520912029025,1.0,0.9338516393237517,0.8860388864457368,0.9493499659251032,0.9328727372850683,0.8997267754470641,0.9618753574168488,0.9812252113449839,0.8399874729609658,0.9630136639272345,0.9768171540864304,0.9055249336732293,0.9271225338079943,0.9784246372908868,0.9397196472286985,0.9631148784355327,0.9029691066041667,1.0,1.0,0.9571710959770976,0.9379983971609872,0.9674047802092844,1.0,0.9456324223807132,1.0,0.9859470702995847,0.9529670966846505,0.9788522532781093,0.9837435977809411,0.9725066823707897,0.9532260456014512,0.9528231617234957,1.0,0.9783466580684597,1.0,0.9543274804071855,0.968278379917164,0.9670042912738099,0.8992031860986961,0.9713067150299174,0.9552997439226745,0.9318005660529527,0.9336583303894785,0.9773258743408164,0.9641379758615444,0.9664186585201036,0.954728563681542,1.0,0.9926629091139532,0.9931614303295113,1.0,0.9582156491196749,0,0.7801040265254073,0.9661684675592649,0.9770099755064149,0.8586178023834709,0.9837527126693612,0.9581589912943078,0.9562003550796004,0.9949502677297076,0.9462179009955967,0.9904688393542123,0.9855902395573941,0.9914750707566191,0.955046645016449,0.9718886836804886,0.9779887273418594,0.9700258864559799,0.9618753574168488,0.9584231516457344,0.957756692861695,0.9483789899152434,0.8604735572334061,0.9425657156858449,0.9298542155823991,0.9501941754908247,0.9581527681948898,1.0,0.9581301009221345,0.9636291637172736,0.9777463256706661,1.0,1.0,0.9266727161875666,0.9730418066991404,0.9601044781207437,0.9865209033495702,0.9401590388929288,0.978191770674179,0.9912246933689753,0.9476619971014744,0.9756153966714117,1.0,0.9300818397917887,0.890255743295271,1.0,0.9907534159818087,0.9328516084932809,0.9484196012110307,0.885065801805084,0.9676692929782463,1.0,0.9595879596858595,0.9090549452320189,0.9184288130904201,0.9098872084398245,0.9891118732981101,0.969155645456775,0.9809376787084244,0.9809376787084244,0.9335066509561664,1.0,1.0,0.9957898375384845,0.9664804465452904,0.9439742770638344,0.9482123594293929,0.9022254438758636,0.9308478441679404,1.0,0.8522100264381989,0.9779887273418594,0.823096390254741,0.9915053547928058,1.0,1.0,0.9177065678184286,1.0,0.9098056102463559,1.0,0.9915278572037441,1.0
justinwolfers,0.9163983435561036,0.9982431285679086,0.9043167968186574,0.9960320526987375,0.8301980208484875,0.9833651139487751,0.9482158563177587,0.8919074927232922,0.0,0.892436568754146,0.9892624747165468,0.9754617467414628,0.8669328978848533,0.9141947046249798,0.9364472487779388,0.9014415964521523,0.9303136569543016,0.9466123021746343,0.9776989038037153,0.9637957157274916,0.9943448590684875,0.9889323567551924,1.0,0.9582470643464744,1.0,0.9372752784517508,0.9946178187853771,0.8813228279395132,1.0,0.9652755449092361,0.9469034914287469,0.9217680451166511,0.9572106019099967,0.911225195628604,0.9432952022876258,0.9441505272893617,0.9238415692325639,0.942237679065936,0.9597720813801173,0.9731363098443944,0.9249576464421837,0.9541568881475683,0.9820683684969792,0.9096403887733503,0.9265284171011066,1.0,1.0,0.9700227319492959,0.9476032592072959,0.9595995044283216,1.0,0.9081093474489169,1.0,0.9958196668509599,0.9637272832568512,1.0,0.9758209930138436,0.9688439880305277,0.8731381953836176,0.8746989156617773,0.9074014530912962,0.9774556873564698,1.0,0.950808474347498,0.9960682296977542,0.9995732498863855,0.9799149658496074,0.9573229593855628,0.8947319954376677,0.8985633741318053,0.9780725611789979,0.988758524480986,1.0,0.9467228739836844,0.9501225169620771,1.0,1.0,0.9735544472764741,1.0,0.9782481735883712,0,0.8893017829965616,0.9319207740291674,1.0,0.9501956053983659,0.99731495000773,0.9481397119644406,0.9976733739679675,0.9849785321258265,0.9720024636747997,0.9574714017157193,0.8499732071088334,0.9492816870659027,0.996262400458713,0.9850673400520619,1.0,0.9435293593692976,0.8865904045752514,0.9599862408378436,0.9181296869250062,0.9581207314234144,0.8661128649720213,0.9508805966286916,0.9624772546377656,0.9737637450425339,1.0,1.0,0.9104792335065808,0.951914427710955,0.9834504664738861,1.0,1.0,0.895678345164709,0.9599036530117687,0.9851653199576971,1.0,0.9152336885247435,0.955978990746164,0.9967370055582093,0.9110341938308529,1.0,1.0,0.9229681641798058,0.8798885075320282,1.0,1.0,0.9371167765781828,0.9066038625913836,0.946450113997169,0.9741069080027812,1.0,0.9819679103916081,0.8872771741988242,0.8324557570910776,0.9690701103387049,0.9716596480527299,0.9770617799087867,0.9716476011438129,0.981098400762542,0.8621406825812528,1.0,1.0,0.9686900132642852,0.9811357926868709,0.9569909566498861,0.9779924293161563,0.9139958082952125,0.9470147814558483,1.0,0.9298460066637516,1.0,0.8912735136373412,0.9891703984133076,1.0,1.0,0.9219176400755497,1.0,0.9258639834031166,0.9951376037107679,0.981098400762542,1.0
kathylienfx,0.9001491958439547,0.9872629937887655,0.8107845959341511,0.8899806348701533,0.9629185874992664,0.8837966113303263,0.9418756924818293,0.9162248698881991,0.892436568754146,0.0,0.9312433670007595,0.8966669438822326,0.9233509957500093,0.9352664975910866,0.9334254144085883,0.9347129089145162,0.9868109568625179,0.9027459835531813,0.8750475816913613,0.9782659008272508,0.9952133417459729,0.9945014260077178,1.0,0.9723420062118326,0.9953046985848416,0.9836317664539757,0.9839563016296037,0.9756024981762866,1.0,0.9827483610164411,0.9797083419969183,0.972169431406153,0.993701207202965,0.9894148775195007,1.0,0.9804744248269378,0.9564878293358973,0.9872456879292544,0.9763976703965,0.9719385675276201,0.9806684961688515,0.9878530361230995,0.9881217225816701,0.9893114206612471,0.9869636417372006,0.978704114500002,1.0,0.9838657389486251,0.9569612531726102,0.9973237890029273,1.0,0.9902607620463826,1.0,0.9875388803430193,0.9682489979700227,0.9687461846041003,0.9799791674956543,0.9909707104958666,0.9878012490881434,0.9767594437073868,1.0,0.9829327871737842,1.0,0.9813797330876166,0.9960932730755125,0.9991519361352654,0.9938228015468236,0.9623064803871884,0.9871546928724612,0.9846014473959204,0.9800278754975539,0.9913123209723366,1.0,0.9867655555470543,0.99008804223387,1.0,0.9945783329280637,0.9966311400001745,1.0,0.9866203515057455,0,0.9766681248632955,0.9872551775811262,1.0,0.9890028520154357,0.9928854730959878,0.9839684555297726,0.9876703647618299,1.0,0.97218079374614,0.9953046985848416,1.0,1.0,0.9867954029064818,0.9777436802553658,1.0,0.9881871681343611,1.0,0.9674699975683823,0.979820442590561,0.9907527735713725,0.9756103706239195,0.9780724250706043,0.9921188832653632,0.9943772435905438,0.9628929074610344,1.0,0.9471453166116455,0.9940275885447295,0.9956149009568033,1.0,0.9812187943393663,0.9748709869247922,1.0,0.9934488041453468,1.0,0.9817509481465664,0.994628345181608,0.9805467350426114,0.9963167025326012,1.0,0.9676619166618222,0.9878809794862601,0.9795988985760054,1.0,1.0,0.9803975876828455,0.9624375886787326,0.973395599772067,0.9828478892224898,0.9882515437191627,0.9930321866355177,0.967643046593863,0.9572645066094433,0.986340941337721,0.9863670624031919,0.9924026282360241,0.9436563830180988,1.0,0.9791550311821888,1.0,1.0,0.9958519255947413,0.9915205479482578,0.9893162255971333,0.9805623167572407,0.9694428670596277,0.9659338219964827,1.0,0.9550776156896706,1.0,0.9531852866323437,0.9958153134602516,1.0,0.9832015789773677,0.9720414360389615,1.0,0.9871380652934415,0.9967790498019309,0.9812187943393663,1.0
